id,acceptedNameUsage,associatedMedia,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,basisOfRecord,behavior,bibliographicCitation,catalogNumber,class,collectionCode,collectionID,continent,coordinateUncertaintyInMeters,country,countryCode,county,datasetID,datasetName,dateIdentified,decimalLatitude,decimalLongitude,disposition,dynamicProperties,establishmentMeans,eventDate,eventRemarks,eventTime,family,fieldNotes,footprintWKT,genus,geodeticDatum,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceRemarks,georeferenceSources,georeferenceVerificationStatus,habitat,higherClassification,higherGeography,identificationQualifier,identificationReferences,identificationRemarks,identifiedBy,individualCount,infraspecificEpithet,institutionCode,islandGroup,kingdom,language,license,lifeStage,locality,locationAccordingTo,locationRemarks,maximumElevationInMeters,minimumElevationInMeters,modified,municipality,nomenclaturalCode,occurrenceRemarks,order,otherCatalogNumbers,ownerInstitutionCode,phylum,preparations,previousIdentifications,recordedBy,recordNumber,references,reproductiveCondition,rightsHolder,samplingProtocol,scientificName,scientificNameAuthorship,sex,specificEpithet,stateProvince,subgenus,taxonRank,taxonRemarks,type,typeStatus,verbatimCoordinates,verbatimCoordinateSystem,verbatimDepth,verbatimElevation,verbatimEventDate,verbatimLatitude,verbatimLocality,verbatimLongitude,verbatimSRS,vernacularName,waterBody,year
20892229,Lythrum salicaria Linnaeus,http://media.canadensys.net/mt-specimens/large/MT00186700.jpg,,,,,PreservedSpecimen,,MT00186700,MT00186700,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,MontrÃ©al (hors MRC),http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),2014,,,,,,1968-09-13,,,Lythraceae,,,Lythrum,,,,,,,,Terrain vague,,,,,,"Catling, Paul M.",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,"Boulevard l'Assomption, MontrÃ©al",,,,,2016-11-11,MontrÃ©al,ICBN,,,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"PichÃ©, Marie-Christine",sn,,fruiting,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,QuÃ©bec,,species,,PhysicalObject,,,,,,13-IX-68,,,,,,,
20892228,Lythrum salicaria Linnaeus,http://media.canadensys.net/mt-specimens/large/MT00186682.jpg,,,,,PreservedSpecimen,,MT00186682,MT00186682,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,MontrÃ©al (hors MRC),http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),2014,,,,,,1894/1895,,,Lythraceae,,,Lythrum,,,,,,,,nil,,,,,,"Catling, Paul M.",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,unknown,,Le FrÃ¨re Louis Gareau semble avoir rÃ©coltÃ© sur l'Ã®le de MontrÃ©al,,,2016-11-11,MontrÃ©al,ICBN,[Le FrÃ¨re Louis Gareau semble avoir rÃ©coltÃ© entre 1894 et 1895; Ã©tiquette presque illisible (crayon trÃ¨s lÃ©ger)],,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"Gareau, Louis, Fr.",sn,,reproductive/flowering,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,QuÃ©bec,,species,,PhysicalObject,,,,,,sans date,,,,,,,
20892053,Lythrum salicaria Linnaeus,,,,,,PreservedSpecimen,,MT00186363,MT00186363,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,Greater Vancouver Regional District,http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),,,,,,,1983-07-11,,,Lythraceae,,,Lythrum,,,,,,,,On the shore along an arm of river,,,,,,"Breault, AndrÃ©e",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,"Ladner, Delta, Westam Island, along an arm of the Fraser River",,,,,2016-10-24,Delta,ICBN,,,SFS-181649,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"Breault, AndrÃ©e",94,,reproductive/flowering,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,British Columbia,,species,,PhysicalObject,,,,,,,,,,,,,
20891992,Lythrum salicaria Linnaeus,,,,,,PreservedSpecimen,,MT00186393,MT00186393,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,City of Ottawa,http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),,,,,,,1921-08-08,,,Lythraceae,,,Lythrum,,,,,,,,nil,,,,,,"Rolland-Germain, Fr.",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,Environs d'Ottawa,,,,,2016-08-03,,ICBN,,,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"Rolland-Germain, Fr.",15685a,,fruit forming,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,Ontario,,species,,PhysicalObject,,,,,,,,,,,,,
20891996,Lythrum salicaria Linnaeus,,,,,,PreservedSpecimen,,MT00186413,MT00186413,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,Elgin County,http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),,,,,,,1976-07-07,,,Lythraceae,,,Lythrum,,,,,,,,Edge of lake,,,,,,"Renecker, Lyle",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,"Deans Lake, Waterloo region",,"According to label: ""Deane Lake""",,,2016-08-03,,ICBN,,,SFS-154159,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"Renecker, Lyle",sn,,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,Ontario,,species,,PhysicalObject,,,,,,July 7/76,,,,,,,
20891994,Lythrum salicaria Linnaeus,,,"Dore, William G.; Gillett, John M.  1955.  Botanical survey of the St. Lawrence Seaway area in Ontario. Botany and Plant Pathology Division, Department of Agriculture, Ottawa, Ontario",,,PreservedSpecimen,,MT00186395,MT00186395,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,"Stormont, Dundas and Glengarry United Counties",http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),,,,,,,1954-08-17,,,Lythraceae,,,Lythrum,,,,,,,,Abundant on marshy shore,,,,,,"Dore, William G.",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,"St. Lawrence River, 4 miles below Morrisburg",,,,,2016-08-03,,ICBN,,,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"Dore, William G.",15289,,reproductive/flowering,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,Ontario,,species,,PhysicalObject,,,,,,,,,,,,,
20844413,Lythrum salicaria Linnaeus,,,"Bouchard, AndrÃ©; Hay, Stuart G.; Rouleau, Ernest. 1978. The vascular flora of St-Barbe South District, Newfoundland: An interpretation based on biophysiographic areas. Rhodora 80 (822): 228-308",,,PreservedSpecimen,,MT00098158,MT00098158,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,St. Barbe South District,http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),,,,,,,1952-09-01,,,Lythraceae,,,Lythrum,,,,,,,,open places along the roadside,,,,,,"Rouleau, Ernest",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,Lomond River (near junction of Western and Eastern Branch),,,,,2016-08-03,,ICBN,"[RelevÃ© Ã  partir de la thÃ¨se: S.G. Hay: The vascular flora of St. Barbe South District, Newfoundland, 1976. Pour les rÃ©coltes sans UTM original de Lomond (near junction of Western and Eastern Branch) les coordonnÃ©es ont Ã©tÃ© mises  Ã  447000, 5472000]",,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"Rouleau, Ernest",3423,,reproductive/flowering,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,Newfoundland,,species,,PhysicalObject,,21U 447000 5472000,UTM,,,"Sept. 1, 1952",,,,unknown,,,
20810020,Lythrum salicaria Linnaeus,http://media.canadensys.net/mt-specimens/large/MT00043590.jpg,,,,,PreservedSpecimen,,MT00043590,MT00043590,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,Le Granit,http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),2014,,,,,,1975-07-20,,,Lythraceae,,,Lythrum,,,,,,,,en bordure d'un chemin de terre,,,,,,"Catling, Paul M.",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,Courcelles,,,,,2016-09-28,Courcelles,ICBN,,,UQAM-007334,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"Coulombe, FranÃ§ine",70,,reproductive/flowering,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,QuÃ©bec,,species,,PhysicalObject,,,,,,,,,,,,,
20810019,Lythrum salicaria Linnaeus,http://media.canadensys.net/mt-specimens/large/MT00043589.jpg,,,,,PreservedSpecimen,,MT00043589,MT00043589,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,Matawinie,http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),2014,,,,,,1975-07-08,,,Lythraceae,,,Lythrum,,,,,,,,grÃ¨ve marÃ©cageuse,,,,,,"Catling, Paul M.",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,"Saint-Michel-des-Saints, Lac Kaiagamac, extrÃ©mitÃ© nord-ouest",,,,,2016-09-28,Saint-Michel-des-Saints,ICBN,,,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"Forget, Suzanne",750166,,reproductive/budding,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,QuÃ©bec,,species,,PhysicalObject,,,,,,08/07/75,,,,,,,
20810016,Lythrum salicaria Linnaeus,http://media.canadensys.net/mt-specimens/large/MT00043576.jpg,,,,,PreservedSpecimen,,MT00043576,MT00043576,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,Les Maskoutains,http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),2014,,,,,,1973-07-11,,,Lythraceae,,,Lythrum,,,,,,,,champs,,,,,,"Catling, Paul M.",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,"Saint-Jude, rang 6",,,,,2016-09-28,Saint-Jude,ICBN,,,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"Bouchard, CÃ©line",sn,,reproductive/flowering,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,QuÃ©bec,,species,,PhysicalObject,,,,,,,,,,,,,
